2026-03-25 10:15:37.805 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-25 10:15:39.423 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-25 10:15:39.441 WARN  [main] org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-25 10:15:39.970 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-25 10:15:40.023 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-25 10:15:40.376 INFO  [main] o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-03-25 10:15:40.847 WARN  [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-25 10:15:40.862 WARN  [main] o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 2fa5acf9-acc7-46ce-8fbd-5c7fac0d03fa

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-03-25 10:15:41.065 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@25d77b18, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@17e7df9e, org.springframework.security.web.context.SecurityContextHolderFilter@211d17c, org.springframework.security.web.header.HeaderWriterFilter@68d57037, org.springframework.web.filter.CorsFilter@15f28ef5, org.springframework.security.web.authentication.logout.LogoutFilter@40d2a644, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2da2bc89, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@48d1fcd3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5ad1b175, org.springframework.security.web.access.ExceptionTranslationFilter@1164d004, org.springframework.security.web.access.intercept.AuthorizationFilter@2cf5cc43]
2026-03-25 10:15:41.275 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-03-25 10:15:41.283 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2026-03-25 10:15:41.291 INFO  [main] c.e.e.EmployeeManagementSystemApplication - Started EmployeeManagementSystemApplication in 3.765 seconds (process running for 3.997)
2026-03-25 10:15:45.321 INFO  [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-25 10:15:45.322 INFO  [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-25 10:15:45.324 INFO  [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-03-25 10:15:46.187 INFO  [http-nio-8081-exec-9] o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 449 ms
2026-03-25 10:15:59.079 INFO  [http-nio-8081-exec-10] c.e.e.a.ServiceExecutionTimeAspect - Service method EmployeeService.getEmployeeDtoById(..) executed in 71 ms
2026-03-25 10:16:15.935 INFO  [http-nio-8081-exec-1] c.e.e.a.ServiceExecutionTimeAspect - Service method EmployeeService.getEmployeeDtoById(..) executed in 1 ms
2026-03-25 10:16:40.238 INFO  [http-nio-8081-exec-3] c.e.e.a.ServiceExecutionTimeAspect - Service method EmployeeService.getEmployeeDtoById(..) executed in 1 ms
2026-03-25 10:17:13.809 INFO  [http-nio-8081-exec-7] c.e.e.a.ServiceExecutionTimeAspect - Service method EmployeeService.getEmployeeDtoById(..) executed in 1 ms
2026-03-25 10:41:16.981 INFO  [http-nio-8081-exec-9] c.e.e.a.ServiceExecutionTimeAspect - Service method EmployeeService.getEmployeeDtoById(..) executed in 0 ms
2026-03-25 10:41:54.381 INFO  [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-03-25 10:41:54.384 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-03-25 10:41:54.391 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-03-25 10:41:55.272 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-25 10:41:55.305 INFO  [main] c.e.e.EmployeeManagementSystemApplication - Starting EmployeeManagementSystemApplication using Java 21.0.10 with PID 26559 (/home/user/Programming/java/EmployeeManagementSystem/target/classes started by user in /home/user/Programming/java/EmployeeManagementSystem)
2026-03-25 10:41:55.305 DEBUG [main] c.e.e.EmployeeManagementSystemApplication - Running with Spring Boot v3.2.4, Spring v6.1.5
2026-03-25 10:41:55.306 INFO  [main] c.e.e.EmployeeManagementSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-25 10:41:55.951 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-25 10:41:56.004 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 48 ms. Found 5 JPA repository interfaces.
2026-03-25 10:41:56.514 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-03-25 10:41:56.522 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-03-25 10:41:56.524 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-25 10:41:56.524 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2026-03-25 10:41:56.577 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-25 10:41:56.577 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1223 ms
2026-03-25 10:41:56.716 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-25 10:41:56.747 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-03-25 10:41:56.767 INFO  [main] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-03-25 10:41:56.924 INFO  [main] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-25 10:41:56.943 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-25 10:41:57.079 INFO  [main] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7ffcb232
2026-03-25 10:41:57.080 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-25 10:41:57.101 WARN  [main] org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-25 10:41:57.852 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-25 10:41:57.923 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-25 10:41:58.401 INFO  [main] o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-03-25 10:41:59.016 WARN  [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-25 10:41:59.043 WARN  [main] o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 1e1b8873-58c5-4342-b80c-cc238eb34a31

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-03-25 10:41:59.341 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@78a884, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@727ed530, org.springframework.security.web.context.SecurityContextHolderFilter@7ed47927, org.springframework.security.web.header.HeaderWriterFilter@21be9ddc, org.springframework.web.filter.CorsFilter@5bc54087, org.springframework.security.web.authentication.logout.LogoutFilter@339852ab, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@31ba0af0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@752ccee0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@50cefed2, org.springframework.security.web.access.ExceptionTranslationFilter@21996ae2, org.springframework.security.web.access.intercept.AuthorizationFilter@459d81f1]
2026-03-25 10:41:59.615 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-03-25 10:41:59.627 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2026-03-25 10:41:59.635 INFO  [main] c.e.e.EmployeeManagementSystemApplication - Started EmployeeManagementSystemApplication in 4.661 seconds (process running for 4.876)
2026-03-25 10:42:02.430 INFO  [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-25 10:42:02.431 INFO  [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-25 10:42:02.432 INFO  [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-03-25 10:42:02.508 INFO  [http-nio-8081-exec-1] c.e.e.a.ServiceExecutionTimeAspect - Service method EmployeeService.getEmployeeDtoById(..) executed in 30 ms
2026-03-25 10:42:02.512 WARN  [http-nio-8081-exec-1] c.e.e.e.GlobalExceptionHandler - Not found at /api/employees/122: Employee not found with id 122
2026-03-25 10:45:05.921 INFO  [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-03-25 10:45:05.926 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-03-25 10:45:05.932 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-03-25 10:45:06.923 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-25 10:45:06.966 INFO  [main] c.e.e.EmployeeManagementSystemApplication - Starting EmployeeManagementSystemApplication using Java 21.0.10 with PID 27963 (/home/user/Programming/java/EmployeeManagementSystem/target/classes started by user in /home/user/Programming/java/EmployeeManagementSystem)
2026-03-25 10:45:06.967 DEBUG [main] c.e.e.EmployeeManagementSystemApplication - Running with Spring Boot v3.2.4, Spring v6.1.5
2026-03-25 10:45:06.968 INFO  [main] c.e.e.EmployeeManagementSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-25 10:45:08.101 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-25 10:45:08.167 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 59 ms. Found 5 JPA repository interfaces.
2026-03-25 10:45:08.883 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-03-25 10:45:08.895 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-03-25 10:45:08.898 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-25 10:45:08.898 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2026-03-25 10:45:08.973 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-25 10:45:08.974 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1960 ms
2026-03-25 10:45:09.078 DEBUG [main] c.e.e.c.RequestErrorLoggingFilter - Filter 'requestErrorLoggingFilter' configured for use
2026-03-25 10:45:09.227 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-25 10:45:09.288 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-03-25 10:45:09.326 INFO  [main] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-03-25 10:45:09.642 INFO  [main] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-25 10:45:09.670 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-25 10:45:09.889 INFO  [main] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@62de73eb
2026-03-25 10:45:09.891 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-25 10:45:09.918 WARN  [main] org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-25 10:45:10.879 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-25 10:45:11.023 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-25 10:45:11.638 INFO  [main] o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-03-25 10:45:12.785 WARN  [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-25 10:45:12.826 WARN  [main] o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 76cbbfde-b412-4acf-8715-2aea5085e58f

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-03-25 10:45:13.228 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2cf5cc43, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@52a3a9ef, org.springframework.security.web.context.SecurityContextHolderFilter@5f0669d9, org.springframework.security.web.header.HeaderWriterFilter@60d46bd7, org.springframework.web.filter.CorsFilter@25d77b18, org.springframework.security.web.authentication.logout.LogoutFilter@4a9e4be7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@211d17c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@41865dc1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@17e7df9e, org.springframework.security.web.access.ExceptionTranslationFilter@50cefed2, org.springframework.security.web.access.intercept.AuthorizationFilter@33588b68]
2026-03-25 10:45:13.662 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-03-25 10:45:13.676 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2026-03-25 10:45:13.689 INFO  [main] c.e.e.EmployeeManagementSystemApplication - Started EmployeeManagementSystemApplication in 7.143 seconds (process running for 7.343)
2026-03-25 10:45:16.768 INFO  [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-25 10:45:16.768 INFO  [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-25 10:45:16.769 INFO  [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-03-25 10:45:16.848 INFO  [http-nio-8081-exec-1] c.e.e.a.ServiceExecutionTimeAspect - Service method EmployeeService.getEmployeeDtoById(..) executed in 26 ms
2026-03-25 10:45:16.851 WARN  [http-nio-8081-exec-1] c.e.e.e.GlobalExceptionHandler - Not found at /api/employees/122: Employee not found with id 122
2026-03-25 10:45:16.890 WARN  [http-nio-8081-exec-1] c.e.e.c.RequestErrorLoggingFilter - Request failed GET /api/employees/122 -> 404
2026-03-25 10:45:39.056 INFO  [http-nio-8081-exec-2] c.e.e.a.ServiceExecutionTimeAspect - Service method EmployeeService.getEmployeeDtoById(..) executed in 8 ms
2026-03-25 10:45:47.402 INFO  [http-nio-8081-exec-3] c.e.e.a.ServiceExecutionTimeAspect - Service method EmployeeService.getEmployeeDtoById(..) executed in 0 ms
2026-03-25 10:45:47.403 WARN  [http-nio-8081-exec-3] c.e.e.e.GlobalExceptionHandler - Not found at /api/employees/12: Employee not found with id 12
2026-03-25 10:45:47.404 WARN  [http-nio-8081-exec-3] c.e.e.c.RequestErrorLoggingFilter - Request failed GET /api/employees/12 -> 404
